model,is_default,mae,rmse,r2
linear_regression,False,7.998593293669099,11.481063594919803,0.7488801757234207
decision_tree,False,1.8276581387645165,3.2535432560734465,0.9798335281799166
random_forest,True,1.4895225968599701,2.5400292135560996,0.9877088030746194
