model,is_default,mae,rmse,r2
linear_regression,False,7.998593293669099,11.481063594919803,0.7488801757234207
decision_tree,False,3.2400843266958534,4.55393430831048,0.9604915240752061
random_forest,True,2.103760024553364,3.243847827434303,0.9799535396556073
